"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 20-Feb-2025","1W AGO 
 14-Feb-2025","1M AGO 
 22-Jan-2025","1Y AGO 
 22-Feb-2024","52W H 
","52W L 
","365 D % CHNG 
 22-Feb-2024","30 D % CHNG 
 22-Jan-2025"
"NIFTY RURAL","13,432.70","-0.87","13,525.25","13,576.90","13,386.90","-","13,550.50","13,550.50","13,505.55","13,735.70","13,214.40","16,370.10","12,304.35","1.65","-2.21"
"NIFTY SHARIAH 25","7,887.10","-0.69","7,937.75","7,943.90","7,856.20","-","7,941.65","7,941.65","7,952.25","8,292.85","7,971.21","9,449.55","7,267.55","-1.06","-4.89"
"NIFTY TRANSPORTATION & LOGISTICS","20,340.80","-2.13","20,702.75","20,797.45","20,278.50","-","20,782.70","20,782.70","20,440.10","20,800.85","19,866.40","26,170.50","16,828.35","2.39","-2.21"
"NIFTY50 SHARIAH","4,657.45","-0.41","4,678.45","4,681.90","4,638.90","-","4,676.80","4,676.80","4,736.55","4,913.20","4,873.17","5,677.90","4,444.95","-4.43","-5.21"
"NIFTY500 SHARIAH","6,625.80","-0.67","6,667.60","6,700.10","6,596.50","-","6,670.50","6,670.50","6,623.80","7,043.90","6,757.29","8,238.85","6,154.60","-1.95","-5.94"
"NIFTY 8-13 YR G-SEC","2,799.80","-0.02","2,800.57","2,800.99","2,798.99","-","2,800.05","2,802.33","2,798.37","2,785.02","2,566.26","-","-","9.10","0.53"
"NIFTY 10 YR BENCHMARK G-SEC","2,477.79","-0.02","2,478.57","2,479.06","2,476.66","-","2,478.12","2,481.19","2,476.32","2,463.04","2,271.66","-","-","9.07","0.60"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","893.22","-0.04","893.50","893.69","892.80","-","893.51","894.64","893.34","892.29","876.40","-","-","1.92","0.10"
"NIFTY 4-8 YR G-SEC INDEX","3,020.50","-0.04","3,021.48","3,021.65","3,019.68","-","3,020.91","3,021.79","3,020.22","3,007.16","2,776.99","-","-","8.77","0.44"
"NIFTY 11-15 YR G-SEC INDEX","3,089.58","-0.04","3,091.21","3,091.64","3,088.83","-","3,090.62","3,092.84","3,089.17","3,083.93","2,832.22","-","-","9.09","0.18"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,385.79","-0.22","3,393.56","3,395.23","3,383.15","-","3,392.90","3,395.94","3,396.18","3,402.61","3,138.51","-","-","7.88","-0.49"
"NIFTY COMPOSITE G-SEC INDEX","2,891.52","-0.05","2,893.21","2,893.21","2,890.60","-","2,892.67","2,894.78","2,891.59","2,881.68","2,655.33","-","-","8.89","0.34"
"NIFTY BHARAT BOND INDEX - APRIL 2025","1,302.90","0.01","1,302.80","1,302.90","1,302.80","-","1,302.63","1,302.63","1,301.84","1,295.33","-","-","-","-","0.58"
"NIFTY BHARAT BOND INDEX - APRIL 2030","1,464.08","0.01","1,464.51","1,464.51","1,464.08","-","1,464.13","1,464.13","1,464.34","1,456.27","-","-","-","-","0.54"
"NIFTY BHARAT BOND INDEX - APRIL 2031","1,337.40","0.01","1,338.56","1,338.56","1,337.40","-","1,338.13","1,338.13","1,337.50","1,328.64","-","-","-","-","0.66"
"NIFTY BHARAT BOND INDEX - APRIL 2032","1,219.39","0.01","1,222.09","1,222.09","1,219.39","-","1,221.96","1,221.96","1,221.19","1,214.25","-","-","-","-","0.42"
"NIFTY BHARAT BOND INDEX - APRIL 2033","1,186.70","0.01","1,189.23","1,189.23","1,186.70","-","1,189.30","1,189.30","1,188.66","1,183.22","-","-","-","-","0.29"
